,구,동,평균직장인구
0,종로구,청운효자동,29.833333333333336
1,종로구,사직동,587.1666666666667
2,종로구,삼청동,28.166666666666664
3,종로구,부암동,14.0
4,종로구,평창동,3.0
5,종로구,무악동,17.666666666666664
6,종로구,교남동,113.5
7,종로구,가회동,390.0
8,종로구,종로1.2.3.4가동,615.0
9,종로구,종로5.6가동,320.16666666666663
10,종로구,이화동,226.33333333333331
11,종로구,혜화동,43.0
12,종로구,창신1동,96.0
13,종로구,창신2동,25.0
14,종로구,창신3동,20.166666666666664
15,종로구,숭인1동,26.333333333333336
16,종로구,숭인2동,80.0
17,중구,소공동,1470.5
18,중구,회현동,842.0
19,중구,명동,1607.6666666666665
20,중구,필동,161.33333333333331
21,중구,장충동,97.16666666666666
22,중구,광희동,496.1666666666667
23,중구,을지로동,482.16666666666663
24,중구,신당동,258.5
25,중구,다산동,156.16666666666669
26,중구,약수동,56.5
27,중구,청구동,87.0
28,중구,신당5동,60.83333333333333
29,중구,동화동,82.0
30,중구,황학동,99.0
31,중구,중림동,154.33333333333331
32,용산구,후암동,44.16666666666667
33,용산구,용산2가동,14.833333333333332
34,용산구,남영동,441.0
35,용산구,청파동,94.5
36,용산구,원효로1동,280.83333333333337
37,용산구,원효로2동,57.66666666666667
38,용산구,효창동,38.66666666666667
39,용산구,용문동,36.0
40,용산구,한강로동,199.0
41,용산구,이촌1동,9.5
42,용산구,이촌2동,4.0
43,용산구,이태원1동,100.83333333333334
44,용산구,이태원2동,30.0
45,용산구,한남동,50.16666666666667
46,용산구,서빙고동,21.0
47,용산구,보광동,11.0
48,성동구,왕십리2동,31.833333333333332
49,성동구,왕십리도선동,113.5
50,성동구,마장동,105.66666666666666
51,성동구,사근동,66.83333333333334
52,성동구,행당1동,106.83333333333334
53,성동구,행당2동,21.166666666666664
54,성동구,응봉동,8.0
55,성동구,금호1가동,22.0
56,성동구,금호2.3가동,19.166666666666664
57,성동구,금호4가동,9.666666666666668
58,성동구,옥수동,17.166666666666664
59,성동구,성수1가1동,32.83333333333333
60,성동구,성수1가2동,174.83333333333331
61,성동구,성수2가1동,381.33333333333337
62,성동구,성수2가3동,470.83333333333337
63,성동구,송정동,32.33333333333333
64,성동구,용답동,118.0
65,광진구,화양동,54.5
66,광진구,군자동,92.0
67,광진구,중곡1동,69.0
68,광진구,중곡2동,72.0
69,광진구,중곡3동,41.33333333333333
70,광진구,중곡4동,11.0
71,광진구,능동,30.166666666666664
72,광진구,광장동,29.166666666666664
73,광진구,자양1동,158.16666666666669
74,광진구,자양2동,32.833333333333336
75,광진구,자양3동,28.666666666666664
76,광진구,자양4동,25.5
77,광진구,구의1동,83.33333333333334
78,광진구,구의2동,24.166666666666664
79,광진구,구의3동,94.5
80,동대문구,용신동,177.0
81,동대문구,제기동,50.66666666666667
82,동대문구,전농1동,24.166666666666664
83,동대문구,전농2동,34.0
84,동대문구,답십리1동,60.5
85,동대문구,답십리2동,45.16666666666667
86,동대문구,장안1동,102.33333333333334
87,동대문구,장안2동,60.83333333333333
88,동대문구,청량리동,48.16666666666667
89,동대문구,회기동,49.33333333333333
90,동대문구,휘경1동,33.16666666666667
91,동대문구,휘경2동,32.83333333333333
92,동대문구,이문1동,57.66666666666667
93,동대문구,이문2동,15.333333333333334
94,중랑구,면목2동,35.5
95,중랑구,면목4동,22.0
96,중랑구,면목5동,17.5
97,중랑구,면목본동,28.0
98,중랑구,면목7동,12.166666666666668
99,중랑구,면목3.8동,22.666666666666664
100,중랑구,상봉1동,34.33333333333333
101,중랑구,상봉2동,115.0
102,중랑구,중화1동,28.166666666666664
103,중랑구,중화2동,42.33333333333333
104,중랑구,묵1동,26.333333333333336
105,중랑구,묵2동,26.833333333333336
106,중랑구,망우본동,18.5
107,중랑구,망우3동,17.5
108,중랑구,신내1동,27.666666666666664
109,중랑구,신내2동,45.16666666666667
110,성북구,성북동,10.166666666666668
111,성북구,삼선동,75.16666666666666
112,성북구,동선동,84.83333333333334
113,성북구,돈암1동,21.0
114,성북구,돈암2동,16.666666666666664
115,성북구,안암동,68.0
116,성북구,보문동,63.833333333333336
