,Unnamed: 0,구별,동별,연도,주차장면수
829,829,노원구,중계4동,2022,6500
834,834,노원구,상계1동,2022,14425
839,839,노원구,상계2동,2022,8349
844,844,노원구,상계5동,2022,4947
849,849,노원구,상계8동,2022,5101
854,854,노원구,상계9동,2022,5906
859,859,노원구,상계10동,2022,6856
864,864,노원구,상계3.4동,2022,7769
869,869,노원구,상계6.7동,2022,11812
874,874,노원구,중계2.3동,2022,9352
879,879,노원구,공릉1동,2022,14082
884,884,은평구,녹번동,2022,12606
889,889,은평구,불광1동,2022,12620
894,894,은평구,갈현1동,2022,5483
899,899,은평구,갈현2동,2022,9867
904,904,은평구,구산동,2022,10833
909,909,은평구,대조동,2022,9260
914,914,은평구,응암1동,2022,15599
919,919,은평구,응암2동,2022,9913
924,924,은평구,신사1동,2022,8841
929,929,은평구,신사2동,2022,5669
934,934,은평구,증산동,2022,8679
939,939,은평구,수색동,2022,6420
944,944,은평구,진관동,2022,31613
949,949,은평구,불광2동,2022,7884
954,954,은평구,응암3동,2022,6041
959,959,은평구,역촌동,2022,15275
964,964,서대문구,천연동,2022,5189
969,969,서대문구,홍제1동,2022,8056
974,974,서대문구,홍제3동,2022,4303
979,979,서대문구,홍제2동,2022,5968
984,984,서대문구,홍은1동,2022,6636
989,989,서대문구,홍은2동,2022,10590
994,994,서대문구,남가좌1동,2022,5014
999,999,서대문구,남가좌2동,2022,16266
1004,1004,서대문구,북가좌1동,2022,12845
1009,1009,서대문구,북가좌2동,2022,6621
1014,1014,서대문구,충현동,2022,11582
1019,1019,서대문구,북아현동,2022,5803
1024,1024,서대문구,신촌동,2022,19409
1029,1029,서대문구,연희동,2022,14660
1034,1034,마포구,용강동,2022,7173
1039,1039,마포구,대흥동,2022,7158
1044,1044,마포구,염리동,2022,31057
1049,1049,마포구,신수동,2022,12720
1054,1054,마포구,서교동,2022,8126
1059,1059,마포구,합정동,2022,16770
1064,1064,마포구,망원1동,2022,9530
1069,1069,마포구,망원2동,2022,14095
1074,1074,마포구,연남동,2022,6893
1079,1079,마포구,성산1동,2022,5631
1084,1084,마포구,성산2동,2022,13274
1089,1089,마포구,상암동,2022,10849
1094,1094,마포구,도화동,2022,9631
1099,1099,마포구,서강동,2022,24674
1104,1104,마포구,공덕동,2022,14702
1109,1109,마포구,아현동,2022,7140
1114,1114,양천구,목1동,2022,22653
1119,1119,양천구,목2동,2022,10032
1124,1124,양천구,목3동,2022,8357
1129,1129,양천구,목4동,2022,8332
1134,1134,양천구,신월1동,2022,7001
1139,1139,양천구,신월2동,2022,7271
1144,1144,양천구,신월3동,2022,3881
1149,1149,양천구,신월4동,2022,6355
1154,1154,양천구,신월5동,2022,5523
1159,1159,양천구,신월6동,2022,6096
1164,1164,양천구,신월7동,2022,4182
1169,1169,양천구,신정1동,2022,6045
1174,1174,양천구,신정2동,2022,6507
1179,1179,양천구,신정3동,2022,19107
1184,1184,양천구,신정6동,2022,9010
1189,1189,양천구,신정7동,2022,9316
1194,1194,양천구,목5동,2022,13789
1199,1199,양천구,신정4동,2022,12870
1204,1204,강서구,염창동,2022,20668
1209,1209,강서구,등촌1동,2022,13600
1214,1214,강서구,등촌2동,2022,9611
1219,1219,강서구,등촌3동,2022,17670
1224,1224,강서구,화곡본동,2022,12732
1229,1229,강서구,화곡2동,2022,6412
1234,1234,강서구,화곡3동,2022,9879
1239,1239,강서구,화곡4동,2022,8090
1244,1244,강서구,화곡6동,2022,14487
1249,1249,강서구,화곡8동,2022,8322
1254,1254,강서구,가양1동,2022,49535
1259,1259,강서구,가양2동,2022,5314
1264,1264,강서구,가양3동,2022,5567
1269,1269,강서구,발산1동,2022,29360
1274,1274,강서구,공항동,2022,25818
1279,1279,강서구,방화1동,2022,14206
1284,1284,강서구,방화2동,2022,15923
1289,1289,강서구,방화3동,2022,8603
1294,1294,강서구,화곡1동,2022,20220
1299,1299,강서구,우장산동,2022,19795
1304,1304,구로구,신도림동,2022,20948
1309,1309,구로구,구로1동,2022,7000
1314,1314,구로구,구로3동,2022,24482
1319,1319,구로구,구로4동,2022,5048
1324,1324,구로구,구로5동,2022,18865
1329,1329,구로구,고척1동,2022,12075
1334,1334,구로구,고척2동,2022,9547
1339,1339,구로구,개봉2동,2022,10265
1344,1344,구로구,개봉3동,2022,8032
1349,1349,구로구,오류1동,2022,8300
1354,1354,구로구,수궁동,2022,9864
1359,1359,구로구,가리봉동,2022,2620
1364,1364,구로구,구로2동,2022,16305
1369,1369,구로구,개봉1동,2022,12330
1374,1374,구로구,오류2동,2022,17390
1384,1384,금천구,가산동,2022,53019
1389,1389,금천구,독산1동,2022,26177
1394,1394,금천구,독산2동,2022,5346
1399,1399,금천구,독산3동,2022,9885
1404,1404,금천구,독산4동,2022,5312
1409,1409,금천구,시흥1동,2022,14115
1414,1414,금천구,시흥2동,2022,7585
1419,1419,금천구,시흥3동,2022,6325
1424,1424,금천구,시흥4동,2022,6300
1429,1429,금천구,시흥5동,2022,5084
1434,1434,영등포구,여의동,2022,50360
1439,1439,영등포구,당산1동,2022,10582
1444,1444,영등포구,당산2동,2022,15902
1449,1449,영등포구,양평1동,2022,10939
1454,1454,영등포구,양평2동,2022,11720
1459,1459,영등포구,신길1동,2022,6205
1464,1464,영등포구,신길3동,2022,5215
1469,1469,영등포구,신길4동,2022,2932
1474,1474,영등포구,신길5동,2022,2592
1479,1479,영등포구,신길6동,2022,8537
1484,1484,영등포구,신길7동,2022,6197
1489,1489,영등포구,대림1동,2022,5788
1494,1494,영등포구,대림2동,2022,4955
1499,1499,영등포구,대림3동,2022,8648
1504,1504,영등포구,영등포본동,2022,7073
1509,1509,영등포구,영등포동,2022,20184
1514,1514,영등포구,도림동,2022,6339
1519,1519,영등포구,문래동,2022,19191
1524,1524,동작구,노량진2동,2022,3051
1529,1529,동작구,상도1동,2022,16684
1534,1534,동작구,상도2동,2022,13047
1539,1539,동작구,상도3동,2022,6020
1544,1544,동작구,상도4동,2022,7252
1549,1549,동작구,사당1동,2022,6402
1554,1554,동작구,사당3동,2022,8752
1559,1559,동작구,사당4동,2022,3804
1564,1564,동작구,사당5동,2022,5588
1569,1569,동작구,대방동,2022,11523
1574,1574,동작구,신대방1동,2022,5897
1579,1579,동작구,신대방2동,2022,12756
1584,1584,동작구,흑석동,2022,16126
1589,1589,동작구,노량진1동,2022,11784
1594,1594,동작구,사당2동,2022,8975
1599,1599,관악구,보라매동,2022,8659
1604,1604,관악구,청림동,2022,4182
1609,1609,관악구,행운동,2022,8846
1614,1614,관악구,낙성대동,2022,7295
1619,1619,관악구,중앙동,2022,4599
1624,1624,관악구,인헌동,2022,6813
1629,1629,관악구,남현동,2022,7589
1634,1634,관악구,서원동,2022,6791
1639,1639,관악구,신원동,2022,3668
1644,1644,관악구,서림동,2022,5825
1649,1649,관악구,신사동,2022,6735
1654,1654,관악구,신림동,2022,6791
1659,1659,관악구,난향동,2022,5626
1664,1664,관악구,조원동,2022,7215
1669,1669,관악구,대학동,2022,7680
1674,1674,관악구,은천동,2022,11107
1679,1679,관악구,성현동,2022,11815
1684,1684,관악구,청룡동,2022,10372
1689,1689,관악구,난곡동,2022,6325
1694,1694,관악구,삼성동,2022,5988
1699,1699,관악구,미성동,2022,10039
1704,1704,서초구,서초1동,2022,20030
1709,1709,서초구,서초2동,2022,27793
1714,1714,서초구,서초3동,2022,36164
1719,1719,서초구,서초4동,2022,21017
1724,1724,서초구,잠원동,2022,13664
1729,1729,서초구,반포본동,2022,691
1734,1734,서초구,반포1동,2022,17294
1739,1739,서초구,반포2동,2022,9473
1744,1744,서초구,반포3동,2022,11136
1749,1749,서초구,반포4동,2022,19332
1754,1754,서초구,방배본동,2022,12483
1759,1759,서초구,방배1동,2022,9809
1764,1764,서초구,방배2동,2022,10052
1769,1769,서초구,방배3동,2022,13608
1774,1774,서초구,방배4동,2022,13476
1779,1779,서초구,양재1동,2022,31702
1784,1784,서초구,양재2동,2022,32216
1789,1789,서초구,내곡동,2022,11009
1794,1794,강남구,신사동,2022,16304
1804,1804,강남구,논현1동,2022,21536
1809,1809,강남구,논현2동,2022,24924
1814,1814,강남구,삼성1동,2022,20674
1819,1819,강남구,삼성2동,2022,24425
1824,1824,강남구,대치1동,2022,14116
1829,1829,강남구,대치4동,2022,16756
1834,1834,강남구,역삼1동,2022,46901
1839,1839,강남구,역삼2동,2022,32980
1844,1844,강남구,도곡1동,2022,13319
1849,1849,강남구,도곡2동,2022,25404
1854,1854,강남구,개포1동,2022,3332
1859,1859,강남구,개포4동,2022,7438
1864,1864,강남구,일원본동,2022,11775
1869,1869,강남구,일원1동,2022,5810
1874,1874,강남구,일원2동,2022,0
1879,1879,강남구,수서동,2022,8415
1884,1884,강남구,세곡동,2022,21737
1889,1889,강남구,압구정동,2022,21948
1894,1894,강남구,청담동,2022,26910
1899,1899,강남구,대치2동,2022,27402
1904,1904,강남구,개포2동,2022,15709
1909,1909,송파구,풍납1동,2022,5641
1914,1914,송파구,풍납2동,2022,15038
1919,1919,송파구,거여1동,2022,4289
1924,1924,송파구,거여2동,2022,11775
1929,1929,송파구,마천1동,2022,6255
1934,1934,송파구,마천2동,2022,5296
1939,1939,송파구,방이1동,2022,7152
1944,1944,송파구,방이2동,2022,14183
1949,1949,송파구,오륜동,2022,7021
1954,1954,송파구,오금동,2022,16772
1959,1959,송파구,송파1동,2022,11156
1964,1964,송파구,송파2동,2022,7959
1969,1969,송파구,석촌동,2022,14710
1974,1974,송파구,삼전동,2022,12320
1979,1979,송파구,가락본동,2022,14520
1984,1984,송파구,가락1동,2022,15237
1989,1989,송파구,가락2동,2022,12780
1994,1994,송파구,문정1동,2022,9330
1999,1999,송파구,문정2동,2022,28046
2004,2004,송파구,잠실본동,2022,13187
2009,2009,송파구,잠실4동,2022,9925
2014,2014,송파구,잠실6동,2022,16454
2019,2019,송파구,잠실7동,2022,1829
2024,2024,송파구,잠실2동,2022,23732
2029,2029,송파구,잠실3동,2022,19193
2034,2034,송파구,장지동,2022,27829
2039,2039,송파구,위례동,2022,7598
2049,2049,강동구,상일동,2022,0
2054,2054,강동구,명일1동,2022,13614
2059,2059,강동구,명일2동,2022,6628
2064,2064,강동구,고덕1동,2022,11848
2069,2069,강동구,고덕2동,2022,11651
2074,2074,강동구,암사2동,2022,7056
2079,2079,강동구,암사3동,2022,8124
2084,2084,강동구,천호1동,2022,9974
2089,2089,강동구,천호3동,2022,11090
2094,2094,강동구,성내1동,2022,10876
2099,2099,강동구,성내2동,2022,7869
2104,2104,강동구,성내3동,2022,10656
2109,2109,강동구,둔촌1동,2022,193
2114,2114,강동구,둔촌2동,2022,11512
2119,2119,강동구,암사1동,2022,11699
2124,2124,강동구,천호2동,2022,16529
2129,2129,강동구,길동,2022,17661
2134,2134,강동구,강일동,2022,16089
